Permittivity  data per frequency,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,"Stirrer, RPM","Conductivity, mS/cm",Volume_V,Phase_Sh,Fs_in,Biomasse_X_in,Proteine_P_in,Biomasse_X_target,Proteine_P_target
-2.33708572,-1.54786301,-1.14708328,-0.65091133,-0.53116703,-0.27631092,-0.13449955,-0.11281252,0.0517509,-0.20757914,0.1221565,0.23199135,0.03517467,200.0,48.21762466,1.96837416666667,0,0.12,37.707878736721,4.2141520467793,37.707878736721,4.2141520467793
-2.29577255,-1.55881119,-1.08920479,-0.6716404,-0.53289127,-0.2361412,-0.11014032,-0.10513639,-0.00430679,-0.16573167,0.07914698,0.15591675,0.04229355,200.0,48.21035767,1.968464,0,0.12,37.7085355956905,4.28899079321111,37.7085355956905,4.28899079321111
-2.25503159,-1.67387772,-1.22871017,-0.79388237,-0.56172657,-0.37105751,-0.20056677,-0.23946619,-0.14288306,-0.34077787,-0.02565014,0.07958299,-0.0600819,200.0,48.22380066,1.96845383333333,0,0.12,37.7108124132949,4.36397858917384,37.7108124132949,4.36397858917384
-2.38817978,-1.77106857,-1.25721741,-0.80439758,-0.62704945,-0.27149391,-0.19043446,-0.30387735,-0.22229075,-0.22307968,-0.09324956,0.08807474,-0.07693201,200.0,48.23638535,1.96844366666667,0,0.12,37.7117373204947,4.43911534268535,37.7117373204947,4.43911534268535
-2.4259491,-1.70437241,-1.19987106,-0.78163147,-0.61084747,-0.28621483,-0.1293602,-0.24835873,-0.12956405,-0.19459319,-0.02552605,0.084961,-0.06537724,200.0,48.21746445,1.9684335,0,0.12,37.7116860787143,4.51440096176349,37.7116860787143,4.51440096176349
-2.37342453,-1.63557816,-1.12874413,-0.71663094,-0.54888535,-0.17718887,-0.08718634,-0.10509539,-0.12718749,-0.21323442,-0.0050801,0.11802751,0.07759959,200.0,48.23291016,1.96842333333333,0,0.12,37.7110565218634,4.58983535442615,37.7110565218634,4.58983535442615
-2.4425354,-1.69250107,-1.10239029,-0.71987534,-0.55508804,-0.15891933,-0.16242027,-0.11214638,-0.01181126,-0.23935103,-0.01218784,0.1529054,0.04157656,200.0,48.20235825,1.96851316666667,0,0.12,37.7105702461136,4.66541842869119,37.7105702461136,4.66541842869119
-2.40921021,-1.69256592,-1.1025753,-0.70978546,-0.40307713,-0.18624401,-0.13435745,-0.13334894,0.07088923,-0.13857889,0.02754116,0.17969257,0.09992272,200.0,48.22849274,1.968503,0,0.12,37.7094625662227,4.74115009257648,37.7094625662227,4.74115009257648
-2.51141357,-1.74772644,-1.11435127,-0.77731895,-0.43925571,-0.22942829,-0.20224047,-0.19460058,0.00587916,-0.22145987,0.07082963,0.09405857,0.08739728,200.0,48.2387085,1.96849283333333,0,0.12,37.7098941842184,4.81703025409989,37.7098941842184,4.81703025409989
-2.47015381,-1.71054459,-1.0831356,-0.69160461,-0.47567654,-0.23540974,-0.23334694,-0.20355797,-0.05942106,-0.22692275,0.03790998,0.06891388,0.10233897,200.0,48.27700424,1.96848266666667,0,0.12,37.7095179428162,4.89305882127928,37.7095179428162,4.89305882127928
-2.49692917,-1.70649338,-0.99843788,-0.61502838,-0.46575546,-0.2315464,-0.10801935,-0.04522848,-0.02811599,-0.22216225,0.01816952,0.07909399,0.08847672,200.0,48.28482056,1.9684725,0,0.12,37.711286652937,4.96923570213252,37.711286652937,4.96923570213252
-2.53097153,-1.71599579,-1.05660629,-0.75074005,-0.55205059,-0.23866749,-0.17304087,-0.17092276,-0.08908677,-0.19621754,0.09700513,0.10006911,-0.00830877,200.0,48.251091,1.96846233333333,0,0.12,37.7126975888079,5.04556080467748,37.7126975888079,5.04556080467748
-2.45716858,-1.67228317,-1.01454163,-0.68466377,-0.54501915,-0.25638962,-0.12609148,-0.13067007,-0.10030961,-0.21946263,0.15842354,0.18830782,0.09884626,200.0,48.26728439,1.96855216666667,0,0.12,37.7175852572256,5.12203403693203,37.7175852572256,5.12203403693203
